gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3229.1536,3.979837,4.239332,4.084237,4.477258,2025-06-06
3280.2407,3.9638498,4.2479887,4.066778,4.4809165,2025-06-07
3309.304,3.9800255,4.235001,4.15703,4.5960145,2025-06-08
3292.2993,3.9799964,4.232,4.1129966,4.5529985,2025-06-09
3363.5999,3.9410002,4.23,4.0780005,4.509,2025-06-10
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-11
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-12
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-13
3299.1,3.9749997,4.203,4.023,4.434,2025-06-14
3293.6003,3.98,4.225,4.065,4.477,2025-06-15
3317.1,3.9339998,4.23,3.998,4.424,2025-06-16
3288.9,3.91,4.232,3.9789999,4.416,2025-06-17
3313.1,3.846,4.232,3.9789999,4.416,2025-06-18
3313.1,3.846,4.232,3.9789999,4.416,2025-06-19
3370.6,3.872,4.232,4.017,4.462,2025-06-20
3383.5002,3.902,4.235,4.028,4.46,2025-06-21
3394.0,3.906,4.24,3.932,4.365,2025-06-22
